X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,,X,Y,Z
-0.388845957654148,0.14,-0.485072036620646,,-0.358086550602088,0.14,-0.506144689831404,,-0.407248343203718,0.14,-0.461748448705868,,-0.363063334289134,0.14,-0.491119135274355,,-0.34830273871459,0.14,-0.485496094169522,,-0.330380039501165,0.14,-0.501310187172506,,,-0.360574942445611,0.14,-0.485496094169522
-0.387477639519894,0.14,-0.486185344256962,,-0.357431231635249,0.14,-0.506701436046912,,-0.404303674296574,0.14,-0.462946081282337,,-0.361103474799609,0.14,-0.492300104034699,,-0.346454207478314,0.14,-0.486069258653996,,-0.329889539612044,0.14,-0.501489947808314,,,-0.359267353217429,0.14,-0.486185344256962
-0.386427677664675,0.14,-0.487064120716044,,-0.35702210131763,0.14,-0.506987009650522,,-0.402188996832992,0.14,-0.463869921924659,,-0.359268589951712,0.14,-0.493409376908954,,-0.344645367744516,0.14,-0.486559061975108,,-0.329732787016618,0.14,-0.501500379693082,,,-0.358145345634671,0.14,-0.487064120716044
-0.38575514695485,0.14,-0.487645641274109,,-0.356818354323694,0.14,-0.507058446914478,,-0.401147569542581,0.14,-0.464522821751132,,-0.357582255697509,0.14,-0.494419786359222,,-0.342925358559662,0.14,-0.48695978034178,,-0.330030204989857,0.14,-0.50130218105061,,,-0.357200305010601,0.14,-0.487645641274109
-0.385399246808157,0.14,-0.48798399740784,,-0.356932748870431,0.14,-0.506945605652714,,-0.400784073565218,0.14,-0.464990895951548,,-0.35595707323285,0.14,-0.495318287202766,,-0.341476734079378,0.14,-0.48728534192137,,-0.331124848247873,0.14,-0.500853382280545,,,-0.356444911051641,0.14,-0.48798399740784
-0.385271476048627,0.14,-0.488153717424524,,-0.357329217266193,0.14,-0.506727479872392,,-0.400962459943744,0.14,-0.465242246729662,,-0.354280252902347,0.14,-0.496117299238663,,-0.340336867702676,0.14,-0.487535401159763,,-0.333026173765868,0.14,-0.500142372444157,,,-0.35580473508427,0.14,-0.488153717424524
-0.385277816600532,0.14,-0.488192676324801,,-0.357895655566346,0.14,-0.506476677918819,,-0.401514285318436,0.14,-0.465319761693536,,-0.352617791415142,0.14,-0.49682220129272,,-0.33947108326666,0.14,-0.487713007393245,,-0.335613230478035,0.14,-0.499224746499181,,,-0.355256723490744,0.14,-0.488192676324801
-0.385464385141961,0.14,-0.488079744774629,,-0.359570886619312,0.14,-0.505965033691925,,-0.40229419081427,0.14,-0.465318336015111,,-0.351557295989183,0.14,-0.497451938180466,,-0.338958158740969,0.14,-0.487835791601828,,-0.33896247191178,0.14,-0.498199971671744,,,-0.355564091304247,0.14,-0.488079744774629
-0.385867201318769,0.14,-0.487830325559784,,-0.359201693169684,0.14,-0.505700818367242,,-0.40288756291814,0.14,-0.465300179345012,,-0.350552011765606,0.14,-0.497993290869341,,-0.338919191292001,0.14,-0.487923955548707,,-0.343384940242154,0.14,-0.497071165182782,,,-0.354876852467645,0.14,-0.487923955548707
-0.386022535301283,0.14,-0.487750824094608,,-0.35715644650317,0.14,-0.505147615398733,,-0.402997262895336,0.14,-0.465246761114799,,-0.349681747070457,0.14,-0.498467212259564,,-0.339242584565241,0.14,-0.487953470803091,,-0.346669754517064,0.14,-0.496224497847031,,,-0.353419096786813,0.14,-0.487953470803091
